incnum,offense,offensecode,offensetype,category,year,blockcode,ward,police_shift,day_and_month
100000305,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000306,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2017,,,,
100000307,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000308,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2025,,,,
100000309,Drug/Narcotic Violations,35A,Drug/Narcotics Offenses,Crimes against Society,2022,,,,
100000310,Intimidation,13C,Assault Offenses,Crimes against Person,2025,,,,
100000311,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2023,,,,
100000312,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000313,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2024,,,,
100000314,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2025,,,,
100000315,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2019,,,,
100000316,Simple Assault,13B,Assault Offenses,Crimes against Person,2019,,,,
100000317,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2019,,,,
100000318,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2022,,,,
100000319,Simple Assault,13B,Assault Offenses,Crimes against Person,2023,,,,
100000320,Simple Assault,13B,Assault Offenses,Crimes against Person,2019,,,,
100000321,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2019,,,,
100000322,Simple Assault,13B,Assault Offenses,Crimes against Person,2025,,,,
100000323,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2022,,,,
100000324,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2018,,,,
100000325,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,,,,
100000326,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2020,,,,
100000327,Simple Assault,13B,Assault Offenses,Crimes against Person,2024,,,,
100000328,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2019,,,,
100000329,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2017,,,,
100000330,Simple Assault,13B,Assault Offenses,Crimes against Person,2019,,,,
100000331,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000332,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2018,,,,
